cielab;VIAN_color_category
[0.0,-128, -128.0];blue
[0.0,-128, -76.8];blue
[0.0,-128, -25.599999999999994];green
[0.0,-128, 25.600000000000023];green
[0.0,-128, 76.80000000000001];green
[0.0,-128, 128.0];green
[20.0,-128, -128.0];cyan
[20.0,-128, -76.8];cyan
[20.0,-128, -25.599999999999994];green
[20.0,-128, 25.600000000000023];green
[20.0,-128, 76.80000000000001];green
[20.0,-128, 128.0];green
[40.0,-128, -128.0];cyan
[40.0,-128, -76.8];cyan
[40.0,-128, -25.599999999999994];green
[40.0,-128, 25.600000000000023];green
[40.0,-128, 76.80000000000001];green
[40.0,-128, 128.0];green
[60.0,-128, -128.0];cyan
[60.0,-128, -76.8];cyan
[60.0,-128, -25.599999999999994];green
[60.0,-128, 25.600000000000023];green
[60.0,-128, 76.80000000000001];green
[60.0,-128, 128.0];green
[80.0,-128, -128.0];cyan
[80.0,-128, -76.8];cyan
[80.0,-128, -25.599999999999994];cyan
[80.0,-128, 25.600000000000023];green
[80.0,-128, 76.80000000000001];green
[80.0,-128, 128.0];green
[100.0,-128, -128.0];cyan
[100.0,-128, -76.8];cyan
[100.0,-128, -25.599999999999994];cyan
[100.0,-128, 25.600000000000023];green
[100.0,-128, 76.80000000000001];green
[100.0,-128, 128.0];green
[0.0,-76.8, -128.0];blue
[0.0,-76.8, -76.8];blue
[0.0,-76.8, -25.599999999999994];green
[0.0,-76.8, 25.600000000000023];green
[0.0,-76.8, 76.80000000000001];green
[0.0,-76.8, 128.0];green
[20.0,-76.8, -128.0];blue
[20.0,-76.8, -76.8];blue
[20.0,-76.8, -25.599999999999994];green
[20.0,-76.8, 25.600000000000023];green
[20.0,-76.8, 76.80000000000001];green
[20.0,-76.8, 128.0];green
[40.0,-76.8, -128.0];cyan
[40.0,-76.8, -76.8];cyan
[40.0,-76.8, -25.599999999999994];green
[40.0,-76.8, 25.600000000000023];green
[40.0,-76.8, 76.80000000000001];green
[40.0,-76.8, 128.0];green
[60.0,-76.8, -128.0];cyan
[60.0,-76.8, -76.8];cyan
[60.0,-76.8, -25.599999999999994];green
[60.0,-76.8, 25.600000000000023];green
[60.0,-76.8, 76.80000000000001];green
[60.0,-76.8, 128.0];green
[80.0,-76.8, -128.0];cyan
[80.0,-76.8, -76.8];cyan
[80.0,-76.8, -25.599999999999994];cyan
[80.0,-76.8, 25.600000000000023];green
[80.0,-76.8, 76.80000000000001];green
[80.0,-76.8, 128.0];green
[100.0,-76.8, -128.0];cyan
[100.0,-76.8, -76.8];cyan
[100.0,-76.8, -25.599999999999994];cyan
[100.0,-76.8, 25.600000000000023];green
[100.0,-76.8, 76.80000000000001];green
[100.0,-76.8, 128.0];green
[0.0,-25.5999999999999, -128.0];blue
[0.0,-25.5999999999999, -76.8];blue
[0.0,-25.5999999999999, -25.599999999999994];black
[0.0,-25.5999999999999, 25.600000000000023];black
[0.0,-25.5999999999999, 76.80000000000001];black
[0.0,-25.5999999999999, 128.0];black
[20.0,-25.5999999999999, -128.0];cyan
[20.0,-25.5999999999999, -76.8];cyan
[20.0,-25.5999999999999, -25.599999999999994];cyan
[20.0,-25.5999999999999, 25.600000000000023];green
[20.0,-25.5999999999999, 76.80000000000001];green
[20.0,-25.5999999999999, 128.0];green
[40.0,-25.5999999999999, -128.0];cyan
[40.0,-25.5999999999999, -76.8];cyan
[40.0,-25.5999999999999, -25.599999999999994];green
[40.0,-25.5999999999999, 25.600000000000023];green
[40.0,-25.5999999999999, 76.80000000000001];green
[40.0,-25.5999999999999, 128.0];green
[60.0,-25.5999999999999, -128.0];cyan
[60.0,-25.5999999999999, -76.8];cyan
[60.0,-25.5999999999999, -25.599999999999994];green
[60.0,-25.5999999999999, 25.600000000000023];green
[60.0,-25.5999999999999, 76.80000000000001];green
[60.0,-25.5999999999999, 128.0];green
[80.0,-25.5999999999999, -128.0];cyan
[80.0,-25.5999999999999, -76.8];cyan
[80.0,-25.5999999999999, -25.599999999999994];cyan
[80.0,-25.5999999999999, 25.600000000000023];green
[80.0,-25.5999999999999, 76.80000000000001];green
[80.0,-25.5999999999999, 128.0];green
[100.0,-25.5999999999999, -128.0];cyan
[100.0,-25.5999999999999, -76.8];cyan
[100.0,-25.5999999999999, -25.599999999999994];cyan
[100.0,-25.5999999999999, 25.600000000000023];green
[100.0,-25.5999999999999, 76.80000000000001];yellow
[100.0,-25.5999999999999, 128.0];yellow
[0.0,25.6, -128.0];blue
[0.0,25.6, -76.8];blue
[0.0,25.6, -25.599999999999994];black
[0.0,25.6, 25.600000000000023];black
[0.0,25.6, 76.80000000000001];rust
[0.0,25.6, 128.0];rust
[20.0,25.6, -128.0];blue
[20.0,25.6, -76.8];blue
[20.0,25.6, -25.599999999999994];purple
[20.0,25.6, 25.600000000000023];copper
[20.0,25.6, 76.80000000000001];copper
[20.0,25.6, 128.0];copper
[40.0,25.6, -128.0];blue
[40.0,25.6, -76.8];blue
[40.0,25.6, -25.599999999999994];lavender
[40.0,25.6, 25.600000000000023];copper
[40.0,25.6, 76.80000000000001];copper
[40.0,25.6, 128.0];copper
[60.0,25.6, -128.0];cyan
[60.0,25.6, -76.8];cyan
[60.0,25.6, -25.599999999999994];lavender
[60.0,25.6, 25.600000000000023];orange
[60.0,25.6, 76.80000000000001];orange
[60.0,25.6, 128.0];orange
[80.0,25.6, -128.0];cyan
[80.0,25.6, -76.8];blue
[80.0,25.6, -25.599999999999994];lavender
[80.0,25.6, 25.600000000000023];coral
[80.0,25.6, 76.80000000000001];orange
[80.0,25.6, 128.0];orange
[100.0,25.6, -128.0];cyan
[100.0,25.6, -76.8];cyan
[100.0,25.6, -25.599999999999994];lavender
[100.0,25.6, 25.600000000000023];peach
[100.0,25.6, 76.80000000000001];yellow
[100.0,25.6, 128.0];yellow
[0.0,76.8, -128.0];blue
[0.0,76.8, -76.8];blue
[0.0,76.8, -25.599999999999994];magenta
[0.0,76.8, 25.600000000000023];red
[0.0,76.8, 76.80000000000001];red
[0.0,76.8, 128.0];red
[20.0,76.8, -128.0];blue
[20.0,76.8, -76.8];purple
[20.0,76.8, -25.599999999999994];magenta
[20.0,76.8, 25.600000000000023];red
[20.0,76.8, 76.80000000000001];red
[20.0,76.8, 128.0];red
[40.0,76.8, -128.0];blue
[40.0,76.8, -76.8];purple
[40.0,76.8, -25.599999999999994];magenta
[40.0,76.8, 25.600000000000023];red
[40.0,76.8, 76.80000000000001];red
[40.0,76.8, 128.0];red
[60.0,76.8, -128.0];blue
[60.0,76.8, -76.8];purple
[60.0,76.8, -25.599999999999994];pink
[60.0,76.8, 25.600000000000023];red
[60.0,76.8, 76.80000000000001];orange
[60.0,76.8, 128.0];orange
[80.0,76.8, -128.0];lavender
[80.0,76.8, -76.8];pink
[80.0,76.8, -25.599999999999994];pink
[80.0,76.8, 25.600000000000023];coral
[80.0,76.8, 76.80000000000001];orange
[80.0,76.8, 128.0];orange
[100.0,76.8, -128.0];lavender
[100.0,76.8, -76.8];pink
[100.0,76.8, -25.599999999999994];pink
[100.0,76.8, 25.600000000000023];coral
[100.0,76.8, 76.80000000000001];orange
[100.0,76.8, 128.0];orange
[0.0,128, -128.0];blue
[0.0,128, -76.8];magenta
[0.0,128, -25.599999999999994];red
[0.0,128, 25.600000000000023];red
[0.0,128, 76.80000000000001];red
[0.0,128, 128.0];red
[20.0,128, -128.0];blue
[20.0,128, -76.8];magenta
[20.0,128, -25.599999999999994];pink
[20.0,128, 25.600000000000023];red
[20.0,128, 76.80000000000001];red
[20.0,128, 128.0];red
[40.0,128, -128.0];purple
[40.0,128, -76.8];pink
[40.0,128, -25.599999999999994];pink
[40.0,128, 25.600000000000023];red
[40.0,128, 76.80000000000001];red
[40.0,128, 128.0];orange
[60.0,128, -128.0];magenta
[60.0,128, -76.8];pink
[60.0,128, -25.599999999999994];pink
[60.0,128, 25.600000000000023];red
[60.0,128, 76.80000000000001];red
[60.0,128, 128.0];orange
[80.0,128, -128.0];magenta
[80.0,128, -76.8];magenta
[80.0,128, -25.599999999999994];magenta
[80.0,128, 25.600000000000023];pink
[80.0,128, 76.80000000000001];red
[80.0,128, 128.0];orange
[100.0,128, -128.0];pink
[100.0,128, -76.8];pink
[100.0,128, -25.599999999999994];pink
[100.0,128, 25.600000000000023];pink
[100.0,128, 76.80000000000001];pink
[100.0,128, 128.0];orange
