vian_color,lab,bgr
orange,"[55.0, 30.0, 43.0]","[57.0, 110.0, 196.0]"
green,"[56.0, -16.0, 15.0]","[106.0, 141.0, 114.0]"
black,"[12.0, 6.0, -4.0]","[38.0, 30.0, 38.0]"
amber,"[60.0, 30.0, 48.0]","[59.0, 121.0, 212.0]"
purple,"[39.0, 18.0, -13.0]","[113.0, 82.0, 111.0]"
apricot,"[82.0, 11.0, 21.0]","[166.0, 197.0, 241.0]"
cyan,"[68.0, -18.0, -9.0]","[181.0, 175.0, 113.0]"
blue,"[49.0, -4.0, -18.0]","[148.0, 120.0, 89.0]"
bronze,"[38.0, -8.0, 21.0]","[54.0, 91.0, 88.0]"
magenta,"[30.0, 29.0, -8.0]","[85.0, 53.0, 108.0]"
sepia,"[33.0, -1.0, 20.0]","[45.0, 77.0, 87.0]"
pink,"[64.0, 28.0, 1.0]","[155.0, 138.0, 204.0]"
copper,"[31.0, 14.0, 15.0]","[52.0, 65.0, 102.0]"
mustard,"[64.0, 6.0, 44.0]","[76.0, 150.0, 188.0]"
yellow,"[74.0, -1.0, 52.0]","[84.0, 181.0, 210.0]"
grey,"[49.0, -0.0, -2.0]","[119.0, 116.0, 114.0]"
red,"[31.0, 39.0, 20.0]","[46.0, 43.0, 133.0]"
peach,"[77.0, 15.0, 15.0]","[165.0, 181.0, 228.0]"
silver,"[61.0, 6.0, 12.0]","[127.0, 143.0, 166.0]"
brown,"[34.0, 9.0, 18.0]","[53.0, 74.0, 103.0]"
rust,"[37.0, 27.0, 26.0]","[46.0, 69.0, 137.0]"
gold,"[78.0, 1.0, 46.0]","[108.0, 190.0, 222.0]"
coral,"[61.0, 36.0, 22.0]","[109.0, 120.0, 214.0]"
beige,"[71.0, -5.0, 17.0]","[143.0, 176.0, 177.0]"
cream,"[82.0, 13.0, 14.0]","[180.0, 196.0, 238.0]"
lavender,"[68.0, 14.0, -13.0]","[190.0, 158.0, 181.0]"
white,"[90.0, -1.0, 5.0]","[216.0, 226.0, 228.0]"
ultramarine,"[32.0, 15.0, -36.0]","[132.0, 70.0, 59.0]"
