row,column,HEX
0,0,#e5e3d4
0,1,#e2dbc9
0,2,#e7d9bc
0,3,#d6cbb9
0,4,#c1c5b4
0,5,#ff9aca
0,6,#fd80ba
0,7,#ec488f
0,8,#f9659f
0,9,#c73063
1,0,#abafae
1,1,#969f9a
1,2,#595f5d
1,3,#394241
1,4,#202020
1,5,#c1da74
1,6,#8fbb4a
1,7,#4f9636
1,8,#2f7030
1,9,#264b2c
2,0,#bab6ad
2,1,#695f56
2,2,#322c2c
2,3,#0f5591
2,4,#17416b
2,5,#27c76f
2,6,#148f4e
2,7,#126a3a
2,8,#16a86a
2,9,#145a3e
3,0,#e7e0aa
3,1,#fbcbbf
3,2,#a2e4d8
3,3,#a4e4f0
3,4,#bac1eb
3,5,#4bd5d7
3,6,#21b7b6
3,7,#1a857d
3,8,#28adbe
3,9,#15636d
4,0,#fcd160
4,1,#fbc56b
4,2,#ecab45
4,3,#dc9555
4,4,#b03e33
4,5,#45a0d9
4,6,#1070bc
4,7,#9f7aca
4,8,#7151a4
4,9,#393073
5,0,#f9aaad
5,1,#fd8c84
5,2,#ee5558
5,3,#fd7b61
5,4,#e54449
5,5,#ee89c1
5,6,#db5296
5,7,#89285b
6,0,#f6a3bd
6,1,#f885a6
6,2,#dd476a
6,3,#fd7c90
6,4,#d93f5b
