row,column,HEX
0,0,#ffffff
0,1,#e4e2d6
0,2,#ccccc4
0,3,#9e9d99
0,4,#605d58
0,5,#e078c7
0,6,#9b4292
0,7,#632d6b
0,8,#604d9c
0,9,#2f2f6d
1,0,#cfd1d0
1,1,#b9bfbd
1,2,#97a09b
1,3,#3c4242
1,4,#141414
1,5,#41d287
1,6,#1aa856
1,7,#12653b
1,8,#1fa793
1,9,#16534c
2,0,#efe5aa
2,1,#f7d1d0
2,2,#b2e5de
2,3,#fdd2ed
2,4,#d7d1ed
2,5,#50d4e0
2,6,#259fa4
2,7,#4cc6eb
2,8,#26a0cf
2,9,#135f7f
3,0,#f3dd78
3,1,#fed96e
3,2,#fccd65
3,3,#abd454
3,4,#81a54e
3,5,#71b5e2
3,6,#264f9f
3,7,#5c94cf
3,8,#2057a7
3,9,#1b305f
4,0,#f47c86
4,1,#e54d5c
4,2,#d3363f
4,3,#db406c
4,4,#9a2947
4,5,#587ec9
4,6,#264f9f
4,7,#1e2c53
4,8,#2c2022
4,9,#241e20
5,0,#f378a6
5,1,#dc4a71
5,2,#e64f70
5,3,#ce2b4a
5,4,#842336
5,5,#857dc6
5,6,#6059a7
5,7,#232959
6,0,#f078bf
6,1,#c64794
6,2,#832a6a
6,3,#bf3277
6,4,#662247
