row,column,HEX
0,0,#e5d6c1
0,1,#cfbba3
0,2,#e9d1af
0,3,#edcba6
0,4,#cdaa82
0,5,#d46b65
0,6,#da3d4e
0,7,#bd334a
0,8,#9f2b42
0,9,#4a2129
1,0,#e3d7af
1,1,#d2d5a6
1,2,#eed8a6
1,3,#fac1b6
1,4,#9cd3ce
1,5,#a7bc84
1,6,#adbf69
1,7,#8d9c59
1,8,#5f6738
1,9,#2c312a
2,0,#c5beb8
2,1,#8d8680
2,2,#58504d
2,3,#a69384
2,4,#5d4d4e
2,5,#4ec5c1
2,6,#2ea098
2,7,#3d9483
2,8,#2a6553
2,9,#1d3c37
3,0,#392933
3,1,#1c3531
3,2,#213454
3,3,#213454
3,4,#252525
3,5,#61b8cc
3,6,#2798b6
3,7,#1d738a
3,8,#196573
3,9,#1a413c
4,0,#f5c682
4,1,#d5ac6a
4,2,#b88c5b
4,3,#eba77a
4,4,#c17960
4,5,#d9a7c0
4,6,#c2769c
4,7,#9d4f76
4,8,#6f3450
4,9,#22405a
5,0,#f7868c
5,1,#d24e59
5,2,#e87f6a
5,3,#c06759
5,4,#713535
5,5,#998755
5,6,#837247
5,7,#4d4530
6,0,#f59390
6,1,#ef7c75
6,2,#c75555
6,3,#9b3e48
6,4,#6f2830
