row,column,HEX
0,0,#ffffff
0,1,#e0dcd3
0,2,#c4c4ba
0,3,#9c9992
0,4,#6f6862
0,5,#1fb079
0,6,#155940
0,7,#1a3b34
0,8,#292f25
0,9,#302221
1,0,#ced2d3
1,1,#c3c9c9
1,2,#9a9e9d
1,3,#3c4446
1,4,#000000
1,5,#34c4ab
1,6,#156558
1,7,#2497aa
1,8,#156d7b
1,9,#19383d
2,0,#eee6a5
2,1,#edced3
2,2,#b7e1d5
2,3,#aad5e6
2,4,#bcc5e6
2,5,#55b9dd
2,6,#157aa4
2,7,#154d66
2,8,#1b6997
2,9,#1c3144
3,0,#f9e575
3,1,#facf70
3,2,#f1c16d
3,3,#85bf51
3,4,#41672c
3,5,#67b4e2
3,6,#1a679f
3,7,#5792ee
3,8,#1f518e
3,9,#1c2d4b
4,0,#d1334c
4,1,#e44c65
4,2,#f87a9f
4,3,#de4973
4,4,#7a2238
4,5,#b08bbe
4,6,#9a679f
4,7,#512d51
4,8,#2a2132
4,9,#2c1d22
5,0,#b22239
5,1,#8e2239
5,2,#9c2632
5,3,#722130
5,4,#57212e
5,5,#e67ea1
5,6,#8e3450
5,7,#361f27
6,0,#ec6c7b
6,1,#dd4459
6,2,#812532
6,3,#612429
6,4,#322020
