row,column,HEX
0,0,#e5e3d7
0,1,#d8d3c0
0,2,#c0beb2
0,3,#a69e93
0,4,#827d77
0,5,#79ddb9
0,6,#1cc896
0,7,#1ea384
0,8,#1a9f74
0,9,#1f674f
1,0,#b0b6b6
1,1,#8a9493
1,2,#6f7575
1,3,#7e959d
1,4,#4f6976
1,5,#63dbbf
1,6,#1bc8aa
1,7,#33cfc4
1,8,#24b8ac
1,9,#217e76
2,0,#c5beb6
2,1,#91787b
2,2,#695757
2,3,#5c4c4d
2,4,#563844
2,5,#70d0e0
2,6,#38b5c7
2,7,#27c2c4
2,8,#2a9fa9
2,9,#248193
3,0,#f2dbb1
3,1,#edd3a2
3,2,#f0da8e
3,3,#fddd90
3,4,#fad182
3,5,#84cbeb
3,6,#6bb8e6
3,7,#4292cf
3,8,#1e68a5
3,9,#175b8c
4,0,#f7888e
4,1,#ed5965
4,2,#f76d7c
4,3,#e03c55
4,4,#bc334f
4,5,#90acde
4,6,#7a98d4
4,7,#5278bf
4,8,#36629f
4,9,#1e457e
5,0,#f9959f
5,1,#f7788d
5,2,#f15c79
5,3,#ea4d6a
5,4,#ce2e54
5,5,#9782c7
5,6,#6e5a9f
5,7,#534884
6,0,#f2aab6
6,1,#f398b7
6,2,#f982a8
6,3,#dd5885
6,4,#b0486d
