row,column,HEX
0,0,#ecdcc3
0,1,#e2d5c5
0,2,#edd8b9
0,3,#e4d1a9
0,4,#d5bd99
0,5,#f9b5c2
0,6,#f27fa0
0,7,#f45a80
0,8,#f2768e
0,9,#df3f59
1,0,#eec7b6
1,1,#f4b499
1,2,#d0caa8
1,3,#a2a588
1,4,#6b6e67
1,5,#bbda97
1,6,#99ce8a
1,7,#79c472
1,8,#53b956
1,9,#16a36e
2,0,#cbc5b7
2,1,#b5b1a5
2,2,#7f7b72
2,3,#67625e
2,4,#6b574c
2,5,#7fcecb
2,6,#4ec2bf
2,7,#73c8b1
2,8,#30baa0
2,9,#348878
3,0,#b4b6b3
3,1,#7c7c7a
3,2,#626866
3,3,#877358
3,4,#81604f
3,5,#90c7e5
3,6,#70b3dd
3,7,#70c8de
3,8,#2fb1c9
3,9,#268c9a
4,0,#f5e077
4,1,#f8d47c
4,2,#f2ca6a
4,3,#fdd192
4,4,#f6c36a
4,5,#87b0de
4,6,#6a88c6
4,7,#3961a7
4,8,#276b9a
4,9,#325187
5,0,#f2bc98
5,1,#f99e6f
5,2,#f69680
5,3,#f16c65
5,4,#e75957
5,5,#b0a7d2
5,6,#9883be
5,7,#614e85
6,0,#f1a0a9
6,1,#f69e9d
6,2,#f48282
6,3,#f16570
6,4,#e74f64
