row,column,HEX
0,0,#dfddce
0,1,#ddd4c3
0,2,#c5c5b9
0,3,#9c8f89
0,4,#736660
0,5,#e3d99e
0,6,#d5cb86
0,7,#89c099
0,8,#5f937d
0,9,#37574c
1,0,#c4bdb5
1,1,#afa697
1,2,#8e8178
1,3,#8f746b
1,4,#503d3f
1,5,#7fbdae
1,6,#5ba189
1,7,#417060
1,8,#438279
1,9,#2f524e
2,0,#b0b0ae
2,1,#6a6b6d
2,2,#7c7b76
2,3,#5e5654
2,4,#413f40
2,5,#78bbc4
2,6,#5897a0
2,7,#49747a
2,8,#578e8b
2,9,#295256
3,0,#f4b9bf
3,1,#e4a09d
3,2,#c88a8b
3,3,#b58185
3,4,#713743
3,5,#90c0cc
3,6,#71aab5
3,7,#48808f
3,8,#527a93
3,9,#2f4553
4,0,#fb9ea9
4,1,#f87b8b
4,2,#e3586f
4,3,#c3445f
4,4,#993746
4,5,#a4afc5
4,6,#8892b5
4,7,#777ba1
4,8,#5a5f7c
4,9,#35364a
5,0,#faa0bc
5,1,#ea8097
5,2,#d95177
5,3,#a23751
5,4,#60303c
5,5,#9f9caf
5,6,#807d90
5,7,#55485a
6,0,#e5a1b8
6,1,#ce8a9f
6,2,#b07080
6,3,#88495e
6,4,#503345
