row,column,HEX
0,0,#eadbc4
0,1,#e0d0b9
0,2,#d1c5af
0,3,#ecdbb0
0,4,#efd29a
0,5,#ff9e7e
0,6,#fa7471
0,7,#f9746f
0,8,#ed564d
0,9,#d22e37
1,0,#f2cfbc
1,1,#f7bda7
1,2,#babbad
1,3,#8b8680
1,4,#5a4645
1,5,#e98a86
1,6,#e76474
1,7,#a03748
1,8,#73282f
1,9,#3b2027
2,0,#bdc0a5
2,1,#868974
2,2,#897a67
2,3,#685e52
2,4,#4a463d
2,5,#bfba82
2,6,#9aa56b
2,7,#a39944
2,8,#6c5e2d
2,9,#3b3623
3,0,#cdad86
3,1,#af916d
3,2,#786554
3,3,#4f3e37
3,4,#423336
3,5,#82b16b
3,6,#3e7031
3,7,#287748
3,8,#1f5438
3,9,#1e3628
4,0,#ebb086
4,1,#d9967c
4,2,#a86354
4,3,#824542
4,4,#45282a
4,5,#38afb7
4,6,#20797d
4,7,#48b3c7
4,8,#1b7285
4,9,#174753
5,0,#f5c266
5,1,#f6b163
5,2,#d8a25a
5,3,#b38047
5,4,#694e31
5,5,#5d7fad
5,6,#34436e
5,7,#6f5c89
5,8,#453854
6,0,#f19b62
6,1,#da7c49
6,2,#de704b
6,3,#b84739
6,4,#80302f
