row,column,HEX
0,0,#dcdacd
0,1,#d0ccc3
0,2,#bebcb0
0,3,#908b85
0,4,#605752
0,5,#fdc4d7
0,6,#eb9fbd
0,7,#d58aa8
0,8,#b45d87
0,9,#852f54
1,0,#e8e0a1
1,1,#e2d69a
1,2,#9fa696
1,3,#7e8176
1,4,#5b5851
1,5,#63c6a9
1,6,#379273
1,7,#1f7960
1,8,#1d887e
1,9,#135855
2,0,#c5c4c2
2,1,#b9afae
2,2,#897f80
2,3,#6f6065
2,4,#4a4448
2,5,#53ceba
2,6,#2a947e
2,7,#198762
2,8,#146749
2,9,#174731
3,0,#cec4c3
3,1,#b1a49e
3,2,#967c7f
3,3,#634e53
3,4,#433439
3,5,#5cc1dd
3,6,#2a87a6
3,7,#3db8bd
3,8,#238f99
3,9,#185c69
4,0,#a2b1b6
4,1,#7a8b9b
4,2,#95a6ad
4,3,#6d747a
4,4,#3f464c
4,5,#8ac0e4
4,6,#62abcb
4,7,#508eb7
4,8,#346ea0
4,9,#23456b
5,0,#9bbabc
5,1,#708c8d
5,2,#4e8693
5,3,#2c6e7a
5,4,#21515d
5,5,#9ea7d2
5,6,#7c7fb2
5,7,#4b4978
5,8,#504776
6,0,#f27789
6,1,#df4f66
6,2,#e07089
6,3,#ac3e5b
6,4,#722d3f
