row,column,HEX
0,0,#f2e3c6
0,1,#ebd1c0
0,2,#f6d7a9
0,3,#f3dab1
0,4,#d7bc85
0,5,#e1ab85
0,6,#5bd173
0,7,#46c76d
0,8,#4acca6
0,9,#b9fff3
1,0,#c0c3bc
1,1,#afa99b
1,2,#98968a
1,3,#b9b9b1
1,4,#878078
1,5,#554c47
1,6,#52d1b3
1,7,#2fb8a4
1,8,#1fc3b8
1,9,#b0ffff
2,0,#d5c98f
2,1,#c7aa82
2,2,#b7916d
2,3,#b29c85
2,4,#69533c
2,5,#453329
2,6,#f3a291
2,7,#f6745a
2,8,#f67f77
2,9,#ffe0d7
3,0,#f5ba9a
3,1,#df966d
3,2,#85463d
3,3,#b48c82
3,4,#6d4b3f
3,5,#5e312e
3,6,#9abde5
3,7,#709bd2
3,8,#577fc5
3,9,#d2ffff
4,0,#eeca8c
4,1,#f0d77d
4,2,#f2cd74
4,3,#f6d98d
4,4,#e1b866
4,5,#f7ac51
4,6,#c694d3
4,7,#9a69b8
4,8,#643e87
5,0,#c9da74
5,1,#adc347
5,2,#8b9c3c
5,3,#8cc894
5,4,#479d54
5,5,#256f3a
5,6,#d03d4d
5,7,#7d7d71
5,8,#f2bca0
5,9,#ffe7b9
6,0,#77d972
6,1,#57ce50
6,2,#239732
6,3,#71c496
6,4,#177344
