row,column,HEX
0,0,#f7f7f9
0,1,#504742
0,2,#323335
0,3,#fef0a9
0,4,#bd3460
0,5,#49ad67
0,6,#0b6355
0,7,#1f74b7
0,8,#3b4568
0,9,#564673
1,0,#eeeadf
1,1,#604345
1,2,#f4d2e3
1,3,#feee7f
1,4,#a00f46
1,5,#198853
1,6,#21b1b9
1,7,#7495c8
1,8,#473e59
1,9,#402d5a
2,0,#e2dcd0
2,1,#473133
2,2,#d0e2cc
2,3,#feec70
2,4,#e26ba3
2,5,#2b7254
2,6,#117b88
2,7,#3d62a8
2,8,#2e3f5b
2,9,#c66fa4
3,0,#a4928e
3,1,#d2d1cd
3,2,#c2e1e4
3,3,#fce861
3,4,#c4407a
3,5,#255845
3,6,#74c4e9
3,7,#305099
3,8,#4b4271
3,9,#9a4a85
4,0,#817068
4,1,#bbbdba
4,2,#cadff0
4,3,#d0314f
4,4,#b74080
4,5,#194838
4,6,#188fb9
4,7,#0f366d
4,8,#9475ae
4,9,#733461
5,0,#a89992
5,1,#8d9393
5,2,#d4d9ec
5,3,#bd0f4a
5,4,#9b406c
5,5,#29ab87
5,6,#0f7697
5,7,#393655
5,8,#7d4d89
5,9,#5f3751
6,0,#847975
6,1,#535b5e
6,2,#f6d8e4
6,3,#a91144
6,4,#753d5a
6,5,#218966
6,6,#60a2d4
6,7,#3a5685
6,8,#5c5797
6,9,#441833
