,L,A,B,LAB,HEX
0,60,-85.1875,-106.859375,"[60.0, -85.1875, -106.859375]",#00bbff
1,60,-80.1875,-106.859375,"[60.0, -80.1875, -106.859375]",#00baff
2,60,-75.1875,-106.859375,"[60.0, -75.1875, -106.859375]",#00b9ff
3,60,-70.1875,-106.859375,"[60.0, -70.1875, -106.859375]",#00b8ff
4,60,-65.1875,-106.859375,"[60.0, -65.1875, -106.859375]",#00b6ff
5,60,-60.1875,-106.859375,"[60.0, -60.1875, -106.859375]",#00b5ff
6,60,-55.1875,-106.859375,"[60.0, -55.1875, -106.859375]",#00b4ff
7,60,-50.1875,-106.859375,"[60.0, -50.1875, -106.859375]",#00b2ff
8,60,-45.1875,-106.859375,"[60.0, -45.1875, -106.859375]",#00b1ff
9,60,-40.1875,-106.859375,"[60.0, -40.1875, -106.859375]",#00afff
10,60,-35.1875,-106.859375,"[60.0, -35.1875, -106.859375]",#00adff
11,60,-30.1875,-106.859375,"[60.0, -30.1875, -106.859375]",#00abff
12,60,-25.1875,-106.859375,"[60.0, -25.1875, -106.859375]",#00aaff
13,60,-20.1875,-106.859375,"[60.0, -20.1875, -106.859375]",#00a8ff
14,60,-15.1875,-106.859375,"[60.0, -15.1875, -106.859375]",#00a6ff
15,60,-10.1875,-106.859375,"[60.0, -10.1875, -106.859375]",#00a3ff
16,60,-5.1875,-106.859375,"[60.0, -5.1875, -106.859375]",#00a1ff
17,60,-0.1875,-106.859375,"[60.0, -0.1875, -106.859375]",#009fff
18,60,4.8125,-106.859375,"[60.0, 4.8125, -106.859375]",#009cff
19,60,9.8125,-106.859375,"[60.0, 9.8125, -106.859375]",#0099ff
20,60,14.8125,-106.859375,"[60.0, 14.8125, -106.859375]",#0097ff
21,60,19.8125,-106.859375,"[60.0, 19.8125, -106.859375]",#0094ff
22,60,24.8125,-106.859375,"[60.0, 24.8125, -106.859375]",#0091ff
23,60,29.8125,-106.859375,"[60.0, 29.8125, -106.859375]",#008dff
24,60,34.8125,-106.859375,"[60.0, 34.8125, -106.859375]",#008aff
25,60,39.8125,-106.859375,"[60.0, 39.8125, -106.859375]",#0086ff
26,60,44.8125,-106.859375,"[60.0, 44.8125, -106.859375]",#0082ff
27,60,49.8125,-106.859375,"[60.0, 49.8125, -106.859375]",#007eff
28,60,54.8125,-106.859375,"[60.0, 54.8125, -106.859375]",#3279ff
29,60,59.8125,-106.859375,"[60.0, 59.8125, -106.859375]",#5374ff
30,60,64.8125,-106.859375,"[60.0, 64.8125, -106.859375]",#6a6fff
31,60,69.8125,-106.859375,"[60.0, 69.8125, -106.859375]",#7c69ff
32,60,74.8125,-106.859375,"[60.0, 74.8125, -106.859375]",#8b63ff
33,60,79.8125,-106.859375,"[60.0, 79.8125, -106.859375]",#995bff
34,60,-85.1875,-101.859375,"[60.0, -85.1875, -101.859375]",#00bbff
35,60,-80.1875,-101.859375,"[60.0, -80.1875, -101.859375]",#00b9ff
36,60,-75.1875,-101.859375,"[60.0, -75.1875, -101.859375]",#00b8ff
37,60,-70.1875,-101.859375,"[60.0, -70.1875, -101.859375]",#00b7ff
38,60,-65.1875,-101.859375,"[60.0, -65.1875, -101.859375]",#00b6ff
39,60,-60.1875,-101.859375,"[60.0, -60.1875, -101.859375]",#00b4ff
40,60,-55.1875,-101.859375,"[60.0, -55.1875, -101.859375]",#00b3ff
41,60,-50.1875,-101.859375,"[60.0, -50.1875, -101.859375]",#00b1ff
42,60,-45.1875,-101.859375,"[60.0, -45.1875, -101.859375]",#00b0ff
43,60,-40.1875,-101.859375,"[60.0, -40.1875, -101.859375]",#00aeff
44,60,-35.1875,-101.859375,"[60.0, -35.1875, -101.859375]",#00acff
45,60,-30.1875,-101.859375,"[60.0, -30.1875, -101.859375]",#00abff
46,60,-25.1875,-101.859375,"[60.0, -25.1875, -101.859375]",#00a9ff
47,60,-20.1875,-101.859375,"[60.0, -20.1875, -101.859375]",#00a7ff
48,60,-15.1875,-101.859375,"[60.0, -15.1875, -101.859375]",#00a5ff
49,60,-10.1875,-101.859375,"[60.0, -10.1875, -101.859375]",#00a2ff
50,60,-5.1875,-101.859375,"[60.0, -5.1875, -101.859375]",#00a0ff
51,60,-0.1875,-101.859375,"[60.0, -0.1875, -101.859375]",#009eff
52,60,4.8125,-101.859375,"[60.0, 4.8125, -101.859375]",#009bff
53,60,9.8125,-101.859375,"[60.0, 9.8125, -101.859375]",#0098ff
54,60,14.8125,-101.859375,"[60.0, 14.8125, -101.859375]",#0096ff
55,60,19.8125,-101.859375,"[60.0, 19.8125, -101.859375]",#0093ff
56,60,24.8125,-101.859375,"[60.0, 24.8125, -101.859375]",#008fff
57,60,29.8125,-101.859375,"[60.0, 29.8125, -101.859375]",#008cff
58,60,34.8125,-101.859375,"[60.0, 34.8125, -101.859375]",#0089ff
59,60,39.8125,-101.859375,"[60.0, 39.8125, -101.859375]",#0085ff
60,60,44.8125,-101.859375,"[60.0, 44.8125, -101.859375]",#0081ff
61,60,49.8125,-101.859375,"[60.0, 49.8125, -101.859375]",#357cff
62,60,54.8125,-101.859375,"[60.0, 54.8125, -101.859375]",#5478ff
63,60,59.8125,-101.859375,"[60.0, 59.8125, -101.859375]",#6a73ff
64,60,64.8125,-101.859375,"[60.0, 64.8125, -101.859375]",#7b6dff
65,60,69.8125,-101.859375,"[60.0, 69.8125, -101.859375]",#8b67ff
66,60,74.8125,-101.859375,"[60.0, 74.8125, -101.859375]",#9861ff
67,60,79.8125,-101.859375,"[60.0, 79.8125, -101.859375]",#a559ff
68,60,-85.1875,-96.859375,"[60.0, -85.1875, -96.859375]",#00baff
69,60,-80.1875,-96.859375,"[60.0, -80.1875, -96.859375]",#00b9ff
70,60,-75.1875,-96.859375,"[60.0, -75.1875, -96.859375]",#00b7ff
71,60,-70.1875,-96.859375,"[60.0, -70.1875, -96.859375]",#00b6ff
72,60,-65.1875,-96.859375,"[60.0, -65.1875, -96.859375]",#00b5ff
73,60,-60.1875,-96.859375,"[60.0, -60.1875, -96.859375]",#00b4ff
74,60,-55.1875,-96.859375,"[60.0, -55.1875, -96.859375]",#00b2ff
75,60,-50.1875,-96.859375,"[60.0, -50.1875, -96.859375]",#00b1ff
76,60,-45.1875,-96.859375,"[60.0, -45.1875, -96.859375]",#00afff
77,60,-40.1875,-96.859375,"[60.0, -40.1875, -96.859375]",#00adff
78,60,-35.1875,-96.859375,"[60.0, -35.1875, -96.859375]",#00acff
79,60,-30.1875,-96.859375,"[60.0, -30.1875, -96.859375]",#00aaff
80,60,-25.1875,-96.859375,"[60.0, -25.1875, -96.859375]",#00a8ff
81,60,-20.1875,-96.859375,"[60.0, -20.1875, -96.859375]",#00a6ff
82,60,-15.1875,-96.859375,"[60.0, -15.1875, -96.859375]",#00a4ff
83,60,-10.1875,-96.859375,"[60.0, -10.1875, -96.859375]",#00a2ff
84,60,-5.1875,-96.859375,"[60.0, -5.1875, -96.859375]",#009fff
85,60,-0.1875,-96.859375,"[60.0, -0.1875, -96.859375]",#009dff
86,60,4.8125,-96.859375,"[60.0, 4.8125, -96.859375]",#009aff
87,60,9.8125,-96.859375,"[60.0, 9.8125, -96.859375]",#0097ff
88,60,14.8125,-96.859375,"[60.0, 14.8125, -96.859375]",#0095ff
89,60,19.8125,-96.859375,"[60.0, 19.8125, -96.859375]",#0092ff
90,60,24.8125,-96.859375,"[60.0, 24.8125, -96.859375]",#008eff
91,60,29.8125,-96.859375,"[60.0, 29.8125, -96.859375]",#008bff
92,60,34.8125,-96.859375,"[60.0, 34.8125, -96.859375]",#0087ff
93,60,39.8125,-96.859375,"[60.0, 39.8125, -96.859375]",#0084ff
94,60,44.8125,-96.859375,"[60.0, 44.8125, -96.859375]",#367fff
95,60,49.8125,-96.859375,"[60.0, 49.8125, -96.859375]",#547bff
96,60,54.8125,-96.859375,"[60.0, 54.8125, -96.859375]",#6976ff
97,60,59.8125,-96.859375,"[60.0, 59.8125, -96.859375]",#7b71ff
98,60,64.8125,-96.859375,"[60.0, 64.8125, -96.859375]",#8a6cff
99,60,69.8125,-96.859375,"[60.0, 69.8125, -96.859375]",#9766ff
100,60,74.8125,-96.859375,"[60.0, 74.8125, -96.859375]",#a45fff
101,60,79.8125,-96.859375,"[60.0, 79.8125, -96.859375]",#af57ff
102,60,-85.1875,-91.859375,"[60.0, -85.1875, -91.859375]",#00b9ff
103,60,-80.1875,-91.859375,"[60.0, -80.1875, -91.859375]",#00b8ff
104,60,-75.1875,-91.859375,"[60.0, -75.1875, -91.859375]",#00b7ff
105,60,-70.1875,-91.859375,"[60.0, -70.1875, -91.859375]",#00b5ff
106,60,-65.1875,-91.859375,"[60.0, -65.1875, -91.859375]",#00b4ff
107,60,-60.1875,-91.859375,"[60.0, -60.1875, -91.859375]",#00b3ff
108,60,-55.1875,-91.859375,"[60.0, -55.1875, -91.859375]",#00b1ff
109,60,-50.1875,-91.859375,"[60.0, -50.1875, -91.859375]",#00b0ff
110,60,-45.1875,-91.859375,"[60.0, -45.1875, -91.859375]",#00aeff
111,60,-40.1875,-91.859375,"[60.0, -40.1875, -91.859375]",#00adff
112,60,-35.1875,-91.859375,"[60.0, -35.1875, -91.859375]",#00abff
113,60,-30.1875,-91.859375,"[60.0, -30.1875, -91.859375]",#00a9ff
114,60,-25.1875,-91.859375,"[60.0, -25.1875, -91.859375]",#00a7ff
115,60,-20.1875,-91.859375,"[60.0, -20.1875, -91.859375]",#00a5ff
116,60,-15.1875,-91.859375,"[60.0, -15.1875, -91.859375]",#00a3ff
117,60,-10.1875,-91.859375,"[60.0, -10.1875, -91.859375]",#00a1ff
118,60,-5.1875,-91.859375,"[60.0, -5.1875, -91.859375]",#009eff
119,60,-0.1875,-91.859375,"[60.0, -0.1875, -91.859375]",#009cff
120,60,4.8125,-91.859375,"[60.0, 4.8125, -91.859375]",#0099ff
121,60,9.8125,-91.859375,"[60.0, 9.8125, -91.859375]",#0096ff
122,60,14.8125,-91.859375,"[60.0, 14.8125, -91.859375]",#0094ff
123,60,19.8125,-91.859375,"[60.0, 19.8125, -91.859375]",#0091ff
124,60,24.8125,-91.859375,"[60.0, 24.8125, -91.859375]",#008dff
125,60,29.8125,-91.859375,"[60.0, 29.8125, -91.859375]",#008aff
126,60,34.8125,-91.859375,"[60.0, 34.8125, -91.859375]",#0086ff
127,60,39.8125,-91.859375,"[60.0, 39.8125, -91.859375]",#3782ff
128,60,44.8125,-91.859375,"[60.0, 44.8125, -91.859375]",#547eff
129,60,49.8125,-91.859375,"[60.0, 49.8125, -91.859375]",#697aff
130,60,54.8125,-91.859375,"[60.0, 54.8125, -91.859375]",#7a75ff
131,60,59.8125,-91.859375,"[60.0, 59.8125, -91.859375]",#8970ff
132,60,64.8125,-91.859375,"[60.0, 64.8125, -91.859375]",#966aff
133,60,69.8125,-91.859375,"[60.0, 69.8125, -91.859375]",#a264ff
