id	name	language	english name	srgb_R	srgb_G	srgb_B	cielab_L	cielab_a	cielab_b
201	土砖色	Chinese	adobe	144	112	85	50	9	20
301	藻类色 	Chinese	algae	96	106	66	43	-11	21
501	近黑色	Chinese	almost black	95	85	72	37	2	9
701	紫晶色	Chinese	amethyst	104	77	99	36	16	-8
1001	杏黄色	Chinese	apricot	172	127	81	57	12	32
1201	水蓝色	Chinese	aqua blue	130	179	192	70	-13	-12
1501	海蓝宝石色	Chinese	aquamarine	117	161	171	63	-12	-10
1601	军绿色	Chinese	army green	72	72	52	30	-4	12
1701	芦笋色	Chinese	asparagus	197	192	108	77	-10	43
1801	茄子色	Chinese	aubergine	106	100	110	43	4	-5
2001	鳄梨色	Chinese	avocado	174	174	110	70	-10	33
2101	鳄梨绿	Chinese	avocado green	177	175	92	70	-11	43
2401	淡蓝色	Chinese	baby blue	186	233	248	90	-12	-12
2601	浅粉红色	Chinese	baby pink	248	193	188	83	19	10
2701	婴儿大便色	Chinese	baby poo	200	138	119	63	21	20
3101	婴儿紫	Chinese	baby purple	203	182	208	76	12	-11
3401	香蕉色	Chinese	banana	199	168	70	70	0	53
3601	芭比粉红	Chinese	barbie pink	240	166	189	76	31	-1
3701	呕吐绿	Chinese	barf green	146	180	131	70	-21	22
4001	战舰灰	Chinese	battleship grey	0	80	101	30	-18	-19
4101	米色	Chinese	beige	229	202	174	83	6	17
4201	浆果色	Chinese	berry	84	20	30	18	30	11
4401	黑色	Chinese	black	22	9	5	3	4	3
4501	土色	Chinese	bland	170	128	81	57	10	31
4801	血红色	Chinese	blood red	151	53	53	37	41	23
5101	蓝绿色	Chinese	blue green	75	148	155	57	-21	-11
5201	蓝灰色	Chinese	blue grey	54	73	92	30	-2	-13
5601	蓝莓色	Chinese	blueberry	88	61	88	30	17	-11
5701	蓝绿	Chinese	bluegreen	73	148	155	57	-21	-11
5801	蓝灰色	Chinese	bluegrey	54	73	92	30	-2	-14
5901	发蓝绿色	Chinese	bluey green	109	142	141	57	-11	-3
6001	发蓝灰色	Chinese	bluey grey	93	102	121	43	1	-12
6301	蓝绿色	Chinese	bluish green	60	130	135	50	-20	-9
6401	蓝灰色	Chinese	bluish grey	54	73	92	30	-2	-13
6701	害羞色	Chinese	blush	250	215	203	89	10	10
6801	害羞粉红色	Chinese	blush pink	228	175	188	77	21	1
7201	枯燥的绿色	Chinese	boring green	153	180	111	70	-21	32
7301	深绿色	Chinese	bottle green	27	63	51	24	-16	3
7601	砖红色	Chinese	brick red	150	110	96	50	14	14
8901	鲜橙色	Chinese	bright orange	216	102	62	57	42	43
9201	鲜红色	Chinese	bright red	168	38	40	38	52	32
9601	艳绿蓝色	Chinese	bright turquoise	137	181	149	70	-21	12
9801	鲜黄色	Chinese	bright yellow	217	188	87	77	-1	54
10001	英国赛车绿	Chinese	british racing green	24	29	28	10	-2	0
10201	棕色	Chinese	brown	126	73	55	37	21	20
10301	棕绿色	Chinese	brown green	78	70	49	30	0	14
10401	棕灰色	Chinese	brown grey	245	246	245	97	-1	0
10501	棕色橙色	Chinese	brown orange	233	120	77	63	41	43
10601	棕红色	Chinese	brown red	88	43	38	23	20	12
10801	棕色	Chinese	brownish	126	73	55	37	21	20
10901	棕绿色	Chinese	brownish green	78	70	49	30	0	14
11001	棕灰色	Chinese	brownish grey	245	246	245	97	0	0
11201	棕粉色	Chinese	brownish pink	176	123	113	57	19	14
11301	棕紫	Chinese	brownish purple	177	167	212	71	12	-21
11401	棕红色	Chinese	brownish red	88	43	39	23	20	12
11601	棕绿色	Chinese	browny green	79	70	49	30	0	14
11701	棕橙色	Chinese	browny orange	218	129	95	63	31	33
11801	扭伤色	Chinese	bruise	212	155	149	69	20	12
12101	泡泡糖粉色	Chinese	bubblegum pink	244	193	209	83	21	-1
12201	浅黄色	Chinese	buff	226	208	165	84	0	24
12301	红色 	Chinese	burgundy	172	32	24	38	54	41
12401	焦橙色	Chinese	burnt orange	105	36	12	25	30	31
12901	烧焦的黄色	Chinese	burnt yellow	137	96	33	44	11	41
13101	黄油色	Chinese	butter	204	164	112	70	8	32
13201	奶油黄	Chinese	butter yellow	198	192	144	77	-5	25
13301	奶油色	Chinese	butterscotch	226	202	178	83	5	15
13401	藏青	Chinese	cadet blue	39	39	60	17	6	-13
13501	骆驼色	Chinese	camel	149	111	81	50	11	23
13601	春黄菊色	Chinese	camo	136	161	94	63	-20	32
13701	迷彩绿	Chinese	camo green	68	73	54	30	-6	11
13801	伪装绿	Chinese	camouflage green	77	91	66	37	-11	13
13901	金丝雀鲜黄色	Chinese	canary	203	191	87	76	-9	53
14201	焦糖色	Chinese	caramel	123	74	52	37	19	22
14301	胭脂红	Chinese	carmine	122	48	58	31	33	10
14401	肉色	Chinese	carnation	188	144	120	63	13	19
14501	粉肉色	Chinese	carnation pink	220	179	170	76	13	10
14601	卡蓝	Chinese	carolina blue	95	121	155	50	-1	-21
14801	芹菜色	Chinese	celery	106	128	43	50	-21	42
14901	水泥色	Chinese	cement	131	134	127	56	-3	3
15101	蔚蓝的	Chinese	cerulean	91	140	192	57	-1	-32
15301	木炭色	Chinese	charcoal	120	75	58	37	17	18
15401	木炭灰色	Chinese	charcoal grey	21	88	102	34	-15	-14
15701	樱桃红	Chinese	cherry red	153	51	53	37	43	22
15801	板栗色	Chinese	chestnut	78	48	39	23	13	11
15901	巧克力	Chinese	chocolate	48	20	12	10	13	11
16201	紫红色	Chinese	claret	146	52	90	37	43	-1
16401	粘土褐色	Chinese	clay brown	140	111	88	49	8	17
16601	多云蓝	Chinese	cloudy blue	143	174	209	70	-2	-21
16901	可可色	Chinese	cocoa	161	129	119	57	11	10
17001	咖啡色	Chinese	coffee	73	30	15	17	19	19
17101	酷蓝	Chinese	cool blue	101	179	227	70	-11	-31
17601	珊瑚粉色	Chinese	coral pink	229	149	153	70	31	10
17801	深艳蓝色	Chinese	cornflower blue	79	104	137	43	0	-21
18001	奶油色	Chinese	cream	224	204	180	83	3	14
18201	猩红	Chinese	crimson	119	16	16	25	43	29
18301	蛋黄色	Chinese	custard	217	186	87	76	-1	53
18401	青色	Chinese	cyan	205	255	242	97	-19	2
18601	黑色	Chinese	dark	23	8	4	3	5	3
18701	深蓝绿色	Chinese	dark aqua	71	108	119	43	-10	-10
18801	暗蓝宝石色	Chinese	dark aquamarine	49	69	121	30	10	-32
19001	深蓝色	Chinese	dark blue	18	40	88	17	11	-32
19101	深蓝绿色	Chinese	dark blue green	71	108	120	43	-10	-11
19201	深蓝灰色	Chinese	dark blue grey	56	71	89	30	-1	-12
19301	深棕色	Chinese	dark brown	62	35	27	17	12	11
19401	深珊瑚色	Chinese	dark coral	233	174	167	76	20	12
19501	深乳白色	Chinese	dark cream	159	151	131	63	0	12
19601	深青色	Chinese	dark cyan	35	42	57	17	2	-11
19701	深森林绿	Chinese	dark forest green	63	73	64	30	-6	4
19801	暗紫红色	Chinese	dark fuchsia	71	28	39	17	22	2
19901	深金色	Chinese	dark gold	187	145	116	63	12	21
20101	深绿色	Chinese	dark green	27	63	52	24	-16	2
20301	深灰色	Chinese	dark grey	60	55	47	23	1	6
20401	深灰蓝色	Chinese	dark grey blue	40	58	76	24	-1	-14
20601	深靛蓝	Chinese	dark indigo	34	40	60	16	4	-14
20801	深薰衣草色	Chinese	dark lavender	115	96	121	43	12	-11
20901	深紫丁香色	Chinese	dark lilac	136	112	136	50	14	-9
21201	深紫红	Chinese	dark magenta	56	16	27	11	21	2
